table,column,metric,status,baseline_mean,current_value,absolute_deviation,percentage_deviation,z_score
raw.customers,,record_count,NEW_METRIC,,99441.0,,,
raw.customers,customer_id,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.customers,customer_id,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.customers,customer_unique_id,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.customers,customer_unique_id,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.customers,customer_zip_code_prefix,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.customers,customer_zip_code_prefix,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.customers,customer_zip_code_prefix,min,OK,1003.0,1003.0,0.0,0.0,0.0
raw.customers,customer_zip_code_prefix,max,OK,99990.0,99990.0,0.0,0.0,0.0
raw.customers,customer_zip_code_prefix,mean,OK,35137.47458291851,35137.47458291851,0.0,0.0,0.0
raw.customers,customer_zip_code_prefix,std_dev,OK,29797.93899620646,29797.789168600248,-0.1498276062120567,-5.028119771341605e-06,-10.0
raw.customers,customer_city,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.customers,customer_city,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.customers,customer_state,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.customers,customer_state,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.orders,,record_count,NEW_METRIC,,99441.0,,,
raw.orders,order_id,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.orders,order_id,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.orders,customer_id,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.orders,customer_id,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.orders,order_status,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.orders,order_status,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.orders,order_purchase_timestamp,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.orders,order_purchase_timestamp,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.orders,order_approved_at,null_count,OK,160.0,160.0,0.0,0.0,0.0
raw.orders,order_approved_at,null_rate,OK,0.0016089942780140988,0.0016089942780140988,0.0,0.0,0.0
raw.orders,order_delivered_carrier_date,null_count,OK,1783.0,1783.0,0.0,0.0,0.0
raw.orders,order_delivered_carrier_date,null_rate,OK,0.017930229985619613,0.017930229985619613,0.0,0.0,0.0
raw.orders,order_delivered_customer_date,null_count,OK,2965.0,2965.0,0.0,0.0,0.0
raw.orders,order_delivered_customer_date,null_rate,OK,0.029816675214448765,0.02981667521444877,3.469446951953614e-18,1.163592830857401e-16,1.0
raw.orders,order_estimated_delivery_date,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.orders,order_estimated_delivery_date,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,,record_count,NEW_METRIC,,112650.0,,,
raw.order_items,order_id,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,order_id,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,order_item_id,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,order_item_id,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,order_item_id,min,OK,1.0,1.0,0.0,0.0,0.0
raw.order_items,order_item_id,max,OK,21.0,21.0,0.0,0.0,0.0
raw.order_items,order_item_id,mean,OK,1.1978339991122948,1.1978339991122948,0.0,0.0,0.0
raw.order_items,order_item_id,std_dev,OK,0.7051240313955465,0.7051209016765925,-3.1297189539980508e-06,-4.438536788774404e-06,-10.0
raw.order_items,product_id,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,product_id,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,seller_id,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,seller_id,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,shipping_limit_date,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,shipping_limit_date,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,price,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,price,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,price,min,OK,0.85,0.85,0.0,0.0,0.0
raw.order_items,price,max,OK,6735.0,6735.0,0.0,0.0,0.0
raw.order_items,price,mean,OK,120.65373901464716,120.65373901464716,0.0,0.0,0.0
raw.order_items,price,std_dev,OK,183.633928050255,183.63311298441124,-0.0008150658437671154,-4.438536235766066e-06,-10.0
raw.order_items,freight_value,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,freight_value,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,freight_value,min,OK,0.0,0.0,0.0,inf,0.0
raw.order_items,freight_value,max,OK,409.68,409.68,0.0,0.0,0.0
raw.order_items,freight_value,mean,OK,19.990319928983578,19.990319928983578,0.0,0.0,0.0
raw.order_items,freight_value,std_dev,OK,15.806405412296895,15.806335254993527,-7.015730336767945e-05,-4.438536247659397e-06,-10.0
raw.order_payments,,record_count,NEW_METRIC,,103886.0,,,
raw.order_payments,order_id,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,order_id,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,payment_sequential,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,payment_sequential,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,payment_sequential,min,OK,1.0,1.0,0.0,0.0,0.0
raw.order_payments,payment_sequential,max,OK,29.0,29.0,0.0,0.0,0.0
raw.order_payments,payment_sequential,mean,OK,1.0926785129853878,1.0926785129853878,0.0,0.0,0.0
raw.order_payments,payment_sequential,std_dev,OK,0.7065837791945913,0.7065803784216499,-3.400772941364316e-06,-4.812979071272669e-06,-10.0
raw.order_payments,payment_type,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,payment_type,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,payment_installments,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,payment_installments,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,payment_installments,min,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,payment_installments,max,OK,24.0,24.0,0.0,0.0,0.0
raw.order_payments,payment_installments,mean,OK,2.853348863176944,2.853348863176944,0.0,0.0,0.0
raw.order_payments,payment_installments,std_dev,OK,2.6870506738558717,2.6870377411362854,-1.2932719586356e-05,-4.812979417242537e-06,-10.0
raw.order_payments,payment_value,null_count,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,payment_value,null_rate,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,payment_value,min,OK,0.0,0.0,0.0,inf,0.0
raw.order_payments,payment_value,max,OK,13664.080000000002,13664.08,-1.8189894035458565e-12,-1.3312198139544383e-16,-1.0
raw.order_payments,payment_value,mean,OK,154.10038041699553,154.10038041699553,0.0,0.0,0.0
raw.order_payments,payment_value,std_dev,OK,217.49406386472552,217.49301707022238,-0.001046794503139381,-4.812979648908737e-06,-10.0
